event_id,customer_id,event_type,event_date,from_plan,to_plan,reason,mrr_impact
EVT0000001,CUST00001,Churn,2022-10-05,Free,,Upgraded to paid,0
EVT0000002,CUST00002,Upgrade,2023-04-24,Free,Pro,Plan Upgrade,49
EVT0000003,CUST00003,Churn,2022-03-02,Pro,,Missing features,-49
EVT0000004,CUST00005,Churn,2024-07-02,Pro,,Switched to competitor,-49
EVT0000005,CUST00006,Churn,2023-12-30,Free,,No longer needed,0
EVT0000006,CUST00007,Downgrade,2023-01-07,Business,Pro,Plan Downgrade,-100
EVT0000007,CUST00007,Upgrade,2023-10-04,Pro,Business,Plan Upgrade,100
EVT0000008,CUST00007,Downgrade,2024-11-27,Business,Pro,Plan Downgrade,-100
EVT0000009,CUST00008,Churn,2023-07-06,Free,,No longer needed,0
EVT0000010,CUST00009,Churn,2023-02-14,Business,,Missing features,-149
EVT0000011,CUST00010,Churn,2024-09-01,Business,,Budget cuts,-149
EVT0000012,CUST00011,Churn,2023-11-01,Pro,,Technical issues,-49
EVT0000013,CUST00012,Downgrade,2023-04-25,Business,Free,Plan Downgrade,-149
EVT0000014,CUST00012,Churn,2024-03-17,Free,,Switched to competitor,0
EVT0000015,CUST00013,Churn,2024-06-06,Business,,Too expensive,-149
EVT0000016,CUST00014,Downgrade,2023-06-10,Business,Pro,Plan Downgrade,-100
EVT0000017,CUST00015,Churn,2024-02-12,Pro,,Technical issues,-49
EVT0000018,CUST00017,Churn,2024-10-19,Free,,Switched to competitor,0
EVT0000019,CUST00018,Churn,2024-09-06,Pro,,Too expensive,-49
EVT0000020,CUST00019,Upgrade,2024-02-24,Free,Pro,Plan Upgrade,49
EVT0000021,CUST00020,Churn,2024-10-19,Free,,No longer needed,0
EVT0000022,CUST00021,Churn,2022-01-21,Business,,Company shutdown,-149
EVT0000023,CUST00022,Churn,2023-06-20,Pro,,Missing features,-49
EVT0000024,CUST00023,Churn,2024-12-15,Business,,Budget cuts,-149
EVT0000025,CUST00024,Churn,2023-12-19,Free,,Upgraded to paid,0
EVT0000026,CUST00025,Upgrade,2023-09-21,Free,Pro,Plan Upgrade,49
EVT0000027,CUST00025,Upgrade,2024-03-19,Pro,Business,Plan Upgrade,100
EVT0000028,CUST00026,Churn,2022-07-09,Free,,Switched to competitor,0
EVT0000029,CUST00027,Churn,2023-10-22,Business,,Budget cuts,-149
EVT0000030,CUST00029,Churn,2024-08-09,Free,,Switched to competitor,0
EVT0000031,CUST00030,Downgrade,2023-06-16,Pro,Free,Plan Downgrade,-49
EVT0000032,CUST00030,Churn,2023-12-06,Free,,Switched to competitor,0
EVT0000033,CUST00031,Downgrade,2022-09-16,Pro,Free,Plan Downgrade,-49
EVT0000034,CUST00031,Churn,2023-06-19,Free,,Switched to competitor,0
EVT0000035,CUST00032,Downgrade,2024-05-08,Business,Pro,Plan Downgrade,-100
EVT0000036,CUST00033,Churn,2024-10-08,Business,,Company shutdown,-149
EVT0000037,CUST00034,Downgrade,2024-05-17,Business,Pro,Plan Downgrade,-100
EVT0000038,CUST00034,Churn,2024-07-02,Pro,,Too expensive,-49
EVT0000039,CUST00036,Upgrade,2023-01-25,Free,Pro,Plan Upgrade,49
EVT0000040,CUST00036,Upgrade,2023-11-21,Pro,Business,Plan Upgrade,100
EVT0000041,CUST00037,Churn,2023-06-30,Business,,Too expensive,-149
EVT0000042,CUST00038,Upgrade,2022-10-28,Pro,Business,Plan Upgrade,100
EVT0000043,CUST00038,Churn,2024-08-12,Business,,Missing features,-149
EVT0000044,CUST00039,Churn,2024-09-22,Business,,Budget cuts,-149
EVT0000045,CUST00041,Churn,2024-10-25,Business,,Switched to competitor,-149
EVT0000046,CUST00042,Upgrade,2023-07-29,Pro,Business,Plan Upgrade,100
EVT0000047,CUST00042,Churn,2024-11-14,Business,,Company shutdown,-149
EVT0000048,CUST00043,Churn,2023-12-21,Business,,Switched to competitor,-149
EVT0000049,CUST00044,Churn,2023-03-07,Free,,Switched to competitor,0
EVT0000050,CUST00045,Churn,2023-11-04,Pro,,Budget cuts,-49
EVT0000051,CUST00046,Upgrade,2024-04-14,Free,Pro,Plan Upgrade,49
EVT0000052,CUST00047,Churn,2024-01-09,Pro,,Technical issues,-49
EVT0000053,CUST00048,Churn,2022-10-07,Free,,Upgraded to paid,0
EVT0000054,CUST00049,Downgrade,2024-02-10,Business,Pro,Plan Downgrade,-100
EVT0000055,CUST00050,Downgrade,2023-01-12,Business,Pro,Plan Downgrade,-100
EVT0000056,CUST00050,Churn,2024-02-02,Pro,,Switched to competitor,-49
EVT0000057,CUST00051,Downgrade,2023-08-25,Pro,Free,Plan Downgrade,-49
EVT0000058,CUST00051,Churn,2023-11-21,Free,,Upgraded to paid,0
EVT0000059,CUST00052,Churn,2024-04-02,Pro,,Switched to competitor,-49
EVT0000060,CUST00053,Downgrade,2024-12-26,Pro,Free,Plan Downgrade,-49
EVT0000061,CUST00054,Upgrade,2022-12-27,Pro,Business,Plan Upgrade,100
EVT0000062,CUST00054,Churn,2024-07-08,Business,,Budget cuts,-149
EVT0000063,CUST00055,Churn,2024-11-30,Business,,Budget cuts,-149
EVT0000064,CUST00056,Churn,2022-06-08,Free,,Switched to competitor,0
EVT0000065,CUST00057,Downgrade,2023-11-23,Business,Pro,Plan Downgrade,-100
EVT0000066,CUST00058,Churn,2023-10-20,Pro,,Budget cuts,-49
EVT0000067,CUST00059,Churn,2023-08-22,Free,,No longer needed,0
EVT0000068,CUST00060,Downgrade,2022-09-18,Business,Pro,Plan Downgrade,-100
EVT0000069,CUST00060,Downgrade,2023-03-17,Pro,Free,Plan Downgrade,-49
EVT0000070,CUST00060,Churn,2023-09-01,Free,,No longer needed,0
EVT0000071,CUST00061,Churn,2024-01-21,Business,,Missing features,-149
EVT0000072,CUST00063,Upgrade,2022-05-19,Free,Pro,Plan Upgrade,49
EVT0000073,CUST00063,Upgrade,2022-06-18,Pro,Business,Plan Upgrade,100
EVT0000074,CUST00063,Downgrade,2024-12-04,Business,Pro,Plan Downgrade,-100
EVT0000075,CUST00065,Churn,2023-04-30,Free,,No longer needed,0
EVT0000076,CUST00067,Churn,2023-02-06,Free,,Upgraded to paid,0
EVT0000077,CUST00068,Churn,2023-07-12,Pro,,Too expensive,-49
EVT0000078,CUST00069,Downgrade,2023-11-04,Business,Pro,Plan Downgrade,-100
