subscription_id,customer_id,plan,mrr,start_date,end_date,status,churn_reason,duration_months
SUB000001,CUST00001,Free,0,2022-08-17,2022-10-05,Churned,Upgraded to paid,1
SUB000002,CUST00002,Free,0,2022-06-28,2023-04-24,Upgraded,,10
SUB000003,CUST00002,Pro,49,2023-04-24,,Active,,20
SUB000004,CUST00003,Pro,49,2022-02-24,2022-03-02,Churned,Missing features,1
SUB000005,CUST00004,Business,149,2024-07-08,,Active,,5
SUB000006,CUST00005,Pro,49,2023-07-24,2024-07-02,Churned,Switched to competitor,11
SUB000007,CUST00006,Free,0,2023-12-06,2023-12-30,Churned,No longer needed,1
SUB000008,CUST00007,Business,149,2022-06-11,2023-01-07,Downgraded,,7
SUB000009,CUST00007,Pro,49,2023-01-07,2023-10-04,Upgraded,,9
SUB000010,CUST00007,Business,149,2023-10-04,2024-11-27,Downgraded,,14
SUB000011,CUST00007,Pro,49,2024-11-27,,Active,,1
SUB000012,CUST00008,Free,0,2022-05-23,2023-07-06,Churned,No longer needed,13
SUB000013,CUST00009,Business,149,2022-07-26,2023-02-14,Churned,Missing features,6
SUB000014,CUST00010,Business,149,2023-12-29,2024-09-01,Churned,Budget cuts,8
SUB000015,CUST00011,Pro,49,2022-12-17,2023-11-01,Churned,Technical issues,10
SUB000016,CUST00012,Business,149,2023-03-26,2023-04-25,Downgraded,,1
SUB000017,CUST00012,Free,0,2023-04-25,2024-03-17,Churned,Switched to competitor,10
SUB000018,CUST00013,Business,149,2024-04-01,2024-06-06,Churned,Too expensive,2
SUB000019,CUST00014,Business,149,2023-03-12,2023-06-10,Downgraded,,3
SUB000020,CUST00014,Pro,49,2023-06-10,,Active,,19
SUB000021,CUST00015,Pro,49,2023-06-27,2024-02-12,Churned,Technical issues,7
SUB000022,CUST00016,Free,0,2024-05-27,,Active,,7
SUB000023,CUST00017,Free,0,2024-10-07,2024-10-19,Churned,Switched to competitor,1
SUB000024,CUST00018,Pro,49,2024-05-14,2024-09-06,Churned,Too expensive,3
SUB000025,CUST00019,Free,0,2023-05-30,2024-02-24,Upgraded,,9
SUB000026,CUST00019,Pro,49,2024-02-24,,Active,,10
SUB000027,CUST00020,Free,0,2023-07-01,2024-10-19,Churned,No longer needed,15
SUB000028,CUST00021,Business,149,2022-01-07,2022-01-21,Churned,Company shutdown,1
SUB000029,CUST00022,Pro,49,2022-08-06,2023-06-20,Churned,Missing features,10
SUB000030,CUST00023,Business,149,2022-11-10,2024-12-15,Churned,Budget cuts,25
SUB000031,CUST00024,Free,0,2023-10-26,2023-12-19,Churned,Upgraded to paid,1
SUB000032,CUST00025,Free,0,2022-04-29,2023-09-21,Upgraded,,17
SUB000033,CUST00025,Pro,49,2023-09-21,2024-03-19,Upgraded,,6
SUB000034,CUST00025,Business,149,2024-03-19,,Active,,9
SUB000035,CUST00026,Free,0,2022-05-22,2022-07-09,Churned,Switched to competitor,1
SUB000036,CUST00027,Business,149,2022-12-05,2023-10-22,Churned,Budget cuts,10
SUB000037,CUST00028,Pro,49,2023-02-16,,Active,,22
SUB000038,CUST00029,Free,0,2024-07-13,2024-08-09,Churned,Switched to competitor,1
SUB000039,CUST00030,Pro,49,2023-04-17,2023-06-16,Downgraded,,2
SUB000040,CUST00030,Free,0,2023-06-16,2023-12-06,Churned,Switched to competitor,5
SUB000041,CUST00031,Pro,49,2022-05-19,2022-09-16,Downgraded,,4
SUB000042,CUST00031,Free,0,2022-09-16,2023-06-19,Churned,Switched to competitor,9
SUB000043,CUST00032,Business,149,2023-03-15,2024-05-08,Downgraded,,14
SUB000044,CUST00032,Pro,49,2024-05-08,,Active,,7
SUB000045,CUST00033,Business,149,2023-05-13,2024-10-08,Churned,Company shutdown,17
SUB000046,CUST00034,Business,149,2024-05-17,2024-05-17,Downgraded,,1
SUB000047,CUST00034,Pro,49,2024-05-17,2024-07-02,Churned,Too expensive,1
SUB000048,CUST00035,Business,149,2022-05-05,,Active,,32
SUB000049,CUST00036,Free,0,2023-01-25,2023-01-25,Upgraded,,1
SUB000050,CUST00036,Pro,49,2023-01-25,2023-11-21,Upgraded,,10
SUB000051,CUST00036,Business,149,2023-11-21,,Active,,13
SUB000052,CUST00037,Business,149,2022-06-04,2023-06-30,Churned,Too expensive,13
SUB000053,CUST00038,Pro,49,2022-01-31,2022-10-28,Upgraded,,9
SUB000054,CUST00038,Business,149,2022-10-28,2024-08-12,Churned,Missing features,21
SUB000055,CUST00039,Business,149,2023-03-14,2024-09-22,Churned,Budget cuts,18
SUB000056,CUST00040,Pro,49,2024-07-20,,Active,,5
SUB000057,CUST00041,Business,149,2024-09-23,2024-10-25,Churned,Switched to competitor,1
SUB000058,CUST00042,Pro,49,2022-05-05,2023-07-29,Upgraded,,15
SUB000059,CUST00042,Business,149,2023-07-29,2024-11-14,Churned,Company shutdown,15
SUB000060,CUST00043,Business,149,2022-11-19,2023-12-21,Churned,Switched to competitor,13
SUB000061,CUST00044,Free,0,2022-05-20,2023-03-07,Churned,Switched to competitor,9
SUB000062,CUST00045,Pro,49,2022-03-23,2023-11-04,Churned,Budget cuts,19
SUB000063,CUST00046,Free,0,2023-06-19,2024-04-14,Upgraded,,10
SUB000064,CUST00046,Pro,49,2024-04-14,,Active,,8
SUB000065,CUST00047,Pro,49,2023-09-07,2024-01-09,Churned,Technical issues,4
SUB000066,CUST00048,Free,0,2022-07-24,2022-10-07,Churned,Upgraded to paid,2
SUB000067,CUST00049,Business,149,2023-05-16,2024-02-10,Downgraded,,9
SUB000068,CUST00049,Pro,49,2024-02-10,,Active,,10
SUB000069,CUST00050,Business,149,2022-01-17,2023-01-12,Downgraded,,12
SUB000070,CUST00050,Pro,49,2023-01-12,2024-02-02,Churned,Switched to competitor,12
SUB000071,CUST00051,Pro,49,2023-06-26,2023-08-25,Downgraded,,2
SUB000072,CUST00051,Free,0,2023-08-25,2023-11-21,Churned,Upgraded to paid,2
SUB000073,CUST00052,Pro,49,2023-03-08,2024-04-02,Churned,Switched to competitor,13
SUB000074,CUST00053,Pro,49,2024-09-27,2024-12-26,Downgraded,,3
SUB000075,CUST00053,Free,0,2024-12-26,,Active,,1
SUB000076,CUST00054,Pro,49,2022-04-01,2022-12-27,Upgraded,,9
SUB000077,CUST00054,Business,149,2022-12-27,2024-07-08,Churned,Budget cuts,18
SUB000078,CUST00055,Business,149,2024-05-25,2024-11-30,Churned,Budget cuts,6
SUB000079,CUST00056,Free,0,2022-03-15,2022-06-08,Churned,Switched to competitor,2
SUB000080,CUST00057,Business,149,2023-09-24,2023-11-23,Downgraded,,2
SUB000081,CUST00057,Pro,49,2023-11-23,,Active,,13
SUB000082,CUST00058,Pro,49,2023-05-27,2023-10-20,Churned,Budget cuts,4
SUB000083,CUST00059,Free,0,2022-11-13,2023-08-22,Churned,No longer needed,9
SUB000084,CUST00060,Business,149,2022-02-20,2022-09-18,Downgraded,,7
SUB000085,CUST00060,Pro,49,2022-09-18,2023-03-17,Downgraded,,6
SUB000086,CUST00060,Free,0,2023-03-17,2023-09-01,Churned,No longer needed,5
SUB000087,CUST00061,Business,149,2023-05-24,2024-01-21,Churned,Missing features,8
SUB000088,CUST00062,Free,0,2023-02-13,,Active,,22
SUB000089,CUST00063,Free,0,2022-02-18,2022-05-19,Upgraded,,3
SUB000090,CUST00063,Pro,49,2022-05-19,2022-06-18,Upgraded,,1
SUB000091,CUST00063,Business,149,2022-06-18,2024-12-04,Downgraded,,30
SUB000092,CUST00063,Pro,49,2024-12-04,,Active,,1
SUB000093,CUST00064,Business,149,2023-12-21,,Active,,12
SUB000094,CUST00065,Free,0,2022-02-26,2023-04-30,Churned,No longer needed,14
SUB000095,CUST00066,Free,0,2024-06-08,,Active,,6
SUB000096,CUST00067,Free,0,2023-01-25,2023-02-06,Churned,Upgraded to paid,1
SUB000097,CUST00068,Pro,49,2023-02-08,2023-07-12,Churned,Too expensive,5
SUB000098,CUST00069,Business,149,2023-10-05,2023-11-04,Downgraded,,1
SUB000099,CUST00069,Pro,49,2023-11-04,2024-02-02,Downgraded,,3
SUB000100,CUST00069,Free,0,2024-02-02,2024-03-27,Churned,Switched to competitor,1
SUB000101,CUST00070,Pro,49,2024-04-16,2025-01-03,Churned,Budget cuts,8
SUB000102,CUST00071,Pro,49,2024-02-16,,Active,,10
SUB000103,CUST00072,Pro,49,2023-09-15,,Active,,15
SUB000104,CUST00073,Pro,49,2024-08-10,,Active,,4
SUB000105,CUST00074,Pro,49,2022-06-23,2022-11-20,Downgraded,,5
SUB000106,CUST00074,Free,0,2022-11-20,2024-08-14,Churned,Upgraded to paid,21
SUB000107,CUST00075,Free,0,2023-09-28,2024-07-20,Churned,No longer needed,9
SUB000108,CUST00076,Business,149,2022-05-30,2023-06-24,Downgraded,,13
SUB000109,CUST00076,Pro,49,2023-06-24,2024-04-29,Churned,Switched to competitor,10
SUB000110,CUST00077,Free,0,2024-03-29,2024-12-30,Churned,Switched to competitor,9
SUB000111,CUST00078,Business,149,2023-03-25,2023-05-17,Churned,Company shutdown,1
SUB000112,CUST00079,Pro,49,2024-07-23,,Active,,5
SUB000113,CUST00080,Business,149,2023-10-12,2024-05-19,Churned,Switched to competitor,7
SUB000114,CUST00081,Pro,49,2024-07-02,,Active,,6
SUB000115,CUST00082,Pro,49,2023-07-22,2024-12-06,Churned,Switched to competitor,16
SUB000116,CUST00083,Free,0,2022-06-08,2023-10-03,Churned,Switched to competitor,16
SUB000117,CUST00084,Free,0,2022-10-11,2023-07-18,Churned,Upgraded to paid,9
SUB000118,CUST00085,Free,0,2024-04-29,,Active,,8
SUB000119,CUST00086,Pro,49,2024-03-08,2024-08-31,Churned,Technical issues,5
SUB000120,CUST00087,Pro,49,2024-09-03,,Active,,3
