transaction_id,subscription_id,customer_id,transaction_date,amount,plan,payment_status,payment_method
TXN0000001,SUB000003,CUST00002,2023-04-24,0,Pro,Refunded,Credit Card
TXN0000002,SUB000003,CUST00002,2023-05-24,49,Pro,Paid,Stripe
TXN0000003,SUB000003,CUST00002,2023-06-23,49,Pro,Paid,Bank Transfer
TXN0000004,SUB000003,CUST00002,2023-07-23,49,Pro,Paid,Bank Transfer
TXN0000005,SUB000003,CUST00002,2023-08-22,49,Pro,Paid,Credit Card
TXN0000006,SUB000003,CUST00002,2023-09-21,49,Pro,Paid,Stripe
TXN0000007,SUB000003,CUST00002,2023-10-21,49,Pro,Paid,Stripe
TXN0000008,SUB000003,CUST00002,2023-11-20,49,Pro,Paid,Credit Card
TXN0000009,SUB000003,CUST00002,2023-12-20,49,Pro,Paid,Bank Transfer
TXN0000010,SUB000003,CUST00002,2024-01-19,49,Pro,Paid,PayPal
TXN0000011,SUB000003,CUST00002,2024-02-18,49,Pro,Paid,Bank Transfer
TXN0000012,SUB000003,CUST00002,2024-03-19,49,Pro,Paid,Bank Transfer
TXN0000013,SUB000003,CUST00002,2024-04-18,49,Pro,Paid,Credit Card
TXN0000014,SUB000003,CUST00002,2024-05-18,49,Pro,Paid,PayPal
TXN0000015,SUB000003,CUST00002,2024-06-17,49,Pro,Paid,Bank Transfer
TXN0000016,SUB000003,CUST00002,2024-07-17,49,Pro,Paid,Stripe
TXN0000017,SUB000003,CUST00002,2024-08-16,0,Pro,Failed,Stripe
TXN0000018,SUB000003,CUST00002,2024-09-15,49,Pro,Paid,Credit Card
TXN0000019,SUB000003,CUST00002,2024-10-15,49,Pro,Paid,Bank Transfer
TXN0000020,SUB000003,CUST00002,2024-11-14,49,Pro,Paid,Bank Transfer
TXN0000021,SUB000003,CUST00002,2024-12-14,49,Pro,Paid,Credit Card
TXN0000022,SUB000004,CUST00003,2022-02-24,49,Pro,Paid,PayPal
TXN0000023,SUB000005,CUST00004,2024-07-08,149,Business,Paid,Bank Transfer
TXN0000024,SUB000005,CUST00004,2024-08-07,149,Business,Paid,Bank Transfer
TXN0000025,SUB000005,CUST00004,2024-09-06,0,Business,Failed,Stripe
TXN0000026,SUB000005,CUST00004,2024-10-06,149,Business,Paid,Bank Transfer
TXN0000027,SUB000005,CUST00004,2024-11-05,149,Business,Paid,Credit Card
TXN0000028,SUB000005,CUST00004,2024-12-05,149,Business,Paid,Stripe
TXN0000029,SUB000006,CUST00005,2023-07-24,49,Pro,Paid,Bank Transfer
TXN0000030,SUB000006,CUST00005,2023-08-23,49,Pro,Paid,Bank Transfer
TXN0000031,SUB000006,CUST00005,2023-09-22,49,Pro,Paid,Bank Transfer
TXN0000032,SUB000006,CUST00005,2023-10-22,49,Pro,Paid,PayPal
TXN0000033,SUB000006,CUST00005,2023-11-21,49,Pro,Paid,Bank Transfer
TXN0000034,SUB000006,CUST00005,2023-12-21,49,Pro,Paid,Bank Transfer
TXN0000035,SUB000006,CUST00005,2024-01-20,49,Pro,Paid,Stripe
TXN0000036,SUB000006,CUST00005,2024-02-19,49,Pro,Paid,Credit Card
TXN0000037,SUB000006,CUST00005,2024-03-20,49,Pro,Paid,Stripe
TXN0000038,SUB000006,CUST00005,2024-04-19,49,Pro,Paid,Credit Card
TXN0000039,SUB000006,CUST00005,2024-05-19,49,Pro,Paid,Bank Transfer
TXN0000040,SUB000006,CUST00005,2024-06-18,49,Pro,Paid,PayPal
TXN0000041,SUB000008,CUST00007,2022-06-11,149,Business,Paid,Credit Card
TXN0000042,SUB000008,CUST00007,2022-07-11,149,Business,Paid,PayPal
TXN0000043,SUB000008,CUST00007,2022-08-10,149,Business,Paid,Stripe
TXN0000044,SUB000008,CUST00007,2022-09-09,149,Business,Paid,Bank Transfer
TXN0000045,SUB000008,CUST00007,2022-10-09,149,Business,Paid,Bank Transfer
TXN0000046,SUB000008,CUST00007,2022-11-08,149,Business,Paid,PayPal
TXN0000047,SUB000008,CUST00007,2022-12-08,149,Business,Paid,PayPal
TXN0000048,SUB000008,CUST00007,2023-01-07,149,Business,Paid,Bank Transfer
TXN0000049,SUB000009,CUST00007,2023-01-07,49,Pro,Paid,Stripe
TXN0000050,SUB000009,CUST00007,2023-02-06,0,Pro,Refunded,Credit Card
TXN0000051,SUB000009,CUST00007,2023-03-08,49,Pro,Paid,PayPal
TXN0000052,SUB000009,CUST00007,2023-04-07,49,Pro,Paid,Stripe
TXN0000053,SUB000009,CUST00007,2023-05-07,49,Pro,Paid,PayPal
TXN0000054,SUB000009,CUST00007,2023-06-06,49,Pro,Paid,Credit Card
TXN0000055,SUB000009,CUST00007,2023-07-06,49,Pro,Paid,Unknown
TXN0000056,SUB000009,CUST00007,2023-08-05,49,Pro,Paid,Stripe
TXN0000057,SUB000009,CUST00007,2023-09-04,49,Pro,Paid,PayPal
TXN0000058,SUB000009,CUST00007,2023-10-04,49,Pro,Paid,Bank Transfer
TXN0000059,SUB000010,CUST00007,2023-10-04,149,Business,Paid,Stripe
TXN0000060,SUB000010,CUST00007,2023-11-03,149,Business,Paid,PayPal
TXN0000061,SUB000010,CUST00007,2023-12-03,149,Business,Paid,Bank Transfer
TXN0000062,SUB000010,CUST00007,2024-01-02,149,Business,Paid,Stripe
TXN0000063,SUB000010,CUST00007,2024-02-01,149,Business,Paid,Credit Card
TXN0000064,SUB000010,CUST00007,2024-03-02,149,Business,Paid,Credit Card
TXN0000065,SUB000010,CUST00007,2024-04-01,149,Business,Paid,PayPal
